Code national BSS	Code côte chronique	Côte chronique définie pour le point d'eau	Date de la mesure	Côte NGF	Profondeur relative/repère de mesure	Code continuité	Continuité	Code mode obtention	Mode obtention	Code qualification	Qualification de la mesure	Code statut de la mesure	Statut de la mesure	Code nature de la mesure	Nature de la mesure	Profondeur début site de mesure	Profondeur fin site de mesure	X_WGS84	Y_WGS84	Producteur de données
10906X0061/BOIS	2	Profondeur relative	17/09/2014 00:47	105.43	5.25	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	18/09/2014 09:17	105.43	5.25	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	19/09/2014 19:47	105.44	5.24	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	20/09/2014 00:17	105.42	5.26	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	21/09/2014 02:47	105.41	5.27	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	22/09/2014 21:17	105.43	5.25	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	23/09/2014 02:17	105.4	5.28	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	24/09/2014 05:47	105.4	5.28	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	25/09/2014 06:17	105.39	5.29	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	26/09/2014 04:47	105.39	5.29	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	27/09/2014 06:47	105.39	5.29	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	28/09/2014 23:17	105.39	5.29	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
